LOTID;DATEADDED;CATEGORY;COLOR;PRICE;QTY;BULK;IMAGE;DESCRIPTION;CONDITION;ITEMTYPE;ITEMID;SALE;STOCKROOM;WEIGHT;DATELASTSOLD;CURRENCY;CATEGORYNAME;CATNAME1;CATNAME2;CATNAME3;CATNAME4;COLORNAME;RGB;COLORTYPE;SUBCONDITION;REMARKS;TIERQTY1;TIERPRICE1;TIERQTY2;TIERPRICE2;TIERQTY3;TIERPRICE3;RESERVEDFOR;RETAIN;SUPERLOTID;SUPERLOTQTY;EXTDESCRIPTION;ITEMTYPENAME;ITEMIDNAME;DIMENSIONX;DIMENSIONY;DIMENSIONZ;BOX;COLUMN;ROW
;;;95;0,00;1;;Not Available;;U;P;50745;;;0;;;;;;;;;#;;;;;;;;;;;;;;;;;;;;;;;
;;;1;0,00;1;;Not Available;;U;P;50947;;;0;;;;;;;;;#;;;;;;;;;;;;;;;;;;;;;;;
;;;1;0,00;1;;Not Available;;U;P;50947;;;0;;;;;;;;;#;;;;;;;;;;;;;;;;;;;;;;;
;;;11;0,00;1;;Not Available;;U;P;50947;;;0;;;;;;;;;#;;;;;;;;;;;;;;;;;;;;;;;
;;;156;0,00;1;;Not Available;;U;P;50947;;;0;;;;;;;;;#;;;;;;;;;;;;;;;;;;;;;;;
;;;3;0,00;1;;Not Available;;U;P;50947;;;0;;;;;;;;;#;;;;;;;;;;;;;;;;;;;;;;;
;;;3;0,00;1;;Not Available;;U;P;50947;;;0;;;;;;;;;#;;;;;;;;;;;;;;;;;;;;;;;
;;;3;0,00;1;;Not Available;;U;P;50947;;;0;;;;;;;;;#;;;;;;;;;;;;;;;;;;;;;;;
;;;34;0,00;1;;Not Available;;U;P;50947;;;0;;;;;;;;;#;;;;;;;;;;;;;;;;;;;;;;;
;;;34;0,00;1;;Not Available;;U;P;50947;;;0;;;;;;;;;#;;;;;;;;;;;;;;;;;;;;;;;
;;;42;0,00;1;;Not Available;;U;P;50947;;;0;;;;;;;;;#;;;;;;;;;;;;;;;;;;;;;;;
;;;5;0,00;1;;Not Available;;U;P;50947;;;0;;;;;;;;;#;;;;;;;;;;;;;;;;;;;;;;;
